Unique ID,name,street,city,province,postal,X,Y
11317,Cumberland Pharmacy,131 KENNEDY RD. N.,BRAMPTON,Ontario,L6V 1X9,43.7026452,-79.7593876
11339,Pharmasave,160 North street,Stirling,Ontario,K0K 3E0,44.3003597,-77.5503119
11343,Pharmacie St. Isidore Pharmacy Pharmasave,4553 Ste Catherine street,St. Isidore,Ontario,K0C 2B0,45.3850335,-74.9051189
11345,Cookstown Pharmasave,52 Queen Street,Cookstown,Ontario,L0L 1L0,44.1894746,-79.7088314
11351,Pharmasave Medicine Chest Pharmacy,221 KING STREET EAST,Bowmanville,Ontario,L1C 1P7,43.9109605,-78.6772351
11356,Riddell Park Pharmacy & Compounding Centre,515 Riddell Road,Orangeville,Ontario,L9W 6X2,43.901924,-80.121005
11420,Lifeplus Pharmacy,1835 Dundas Street E,London,Ontario,N5Z 3E7,43.0028176,-81.1798031
11427,Weller Pharmacy,263 Weller Ave,Kingston,Ontario,K7K 2V4,44.2627,-76.4912261
11484,Rexall,178 Citation Drive,Concord,Ontario,L4K 2Z2,43.825263,-79.485416
11661,Rexall,4789 Yonge Street,Toronto,Ontario,M2N 0G3,43.760996,-79.410201
11743,McNaughton Pharmacy,180 Mcnaughton ave west,Chatham,Ontario,N7L 4Z7,42.4106848,-82.2050117
11746,First Care Pharmacy,2 Lorry Greenberg Dr,Ottawa,Ontario,K1G 5H6,45.3698626,-75.6206437
11987,Shoppers Drug Mart,3950 Dougall Ave,Windsor,Ontario,N9G 1X2,42.254317,-83.000776
12086,Shoppers Drug Mart,10 Alkenbrack St.,Napanee,Ontario,K7R 0A6,44.25646,-76.961102
12142,Shoppers Drug Mart,45 Overlea Blvd,Toronto,Ontario,M4H 1C3,43.70581,-79.347044
12247,Shoppers Drug Mart,1735 KIPLING AVE,Toronto,Ontario,M9R 2Y8,43.693411,-79.557073
12308,Shoppers Drug Mart,930 North Park Drive,Brampton,Ontario,L6S 3Y5,43.734085,-79.743177
12313,Shoppers Drug Mart,160 Main Street South,Brampton,Ontario,L6W 2E1,43.677959,-79.747369
12347,Shoppers Drug Mart - Specialty Health Services,1685 Tech Ave.,Mississauga,Ontario,L4W 0A7,43.6416679,-79.6185586
12384,Shoppers Drug Mart,15A Bathurst St,Toronto,Ontario,M5V 1A5,43.637177,-79.400284
12719,Townsgate Pharmacy,7077 Bathurst St.,Thornhill,Ontario,L4J 2J6,43.7938597,-79.4455404
12730,Blueskies Pharmacy,1298 Kingston Rd.,Pickering,Ontario,L1V 3M9,43.848542,-79.087802
12741,Oshawa Discount Pharmacy,44 SIMCOE ST NORTH,Oshawa,Ontario,L1G 4S1,43.8987271,-78.8643104
12757,Morgan Your Pharmacy,154 Fifth Ave,St. Thomas,Ontario,N5R 4E7,42.7669214,-81.1844512
12774,Health-Wise,15 Lockport Way,Stoney Creek,Ontario,L8E 0H8,43.2184181,-79.6336212
12775,TLS Regal Care Drug Mart,480 Stone Church Rd E,Hamilton,Ontario,L8W 0B1,43.2056824,-79.8691025
12796,Windsor House Pharmacy,36 Victoria St W,Alliston,Ontario,L9R 1S8,44.1538141,-79.8704691
12808,Heritage Park Pharmacy,200 LORRAINE AVENUE,Kitchener,Ontario,N2B 3R3,43.4607151,-80.4412313
12845,Port Hope Community Pharmacy,50 CAVAN ST,Port Hope,Ontario,L1A 4B1,43.9537836,-78.2958919
12856,Progressive Drug Mart - Huron,1326 Huron street,London,Ontario,N5V 2E2,43.0205589,-81.2150884
12868,My Care Pharmacy,844 Wonderland Rd S,London,Ontario,N6K 2V8,42.9457143,-81.2879329
12874,Hyde Park Care Pharmacy,1195 HYDE PARK RD.,London,Ontario,N6H 5K6,42.9886216,-81.3269292
12878,Riverbend Pharmacy,1866 Oxford Street West,London,Ontario,N6K 0J8,42.9644726,-81.3624822
12898,Community Health Pharmacy,4790 Victoria Ave.,Niagara Falls,Ontario,L2E 4C3,43.104973,-79.0727145
12921,Paul's Lenadco Pharmacy,310 Bridge Street West,Napanee,Ontario,K7R 0A4,44.2390153,-76.969634
12955,Mapleview Medical Pharmacy,225 MAPLEVIEW DRIVE EAST,Barrie,Ontario,L4N 0W5,44.3396673,-79.6644365
13002,Medical Care Pharmacy,"5818 Sheppard Ave,East",Toronto,Ontario,M1B 4Z6,43.7961065,-79.2302339
13078,Silver Fox Pharmacy Inc.,5040 Mainway,Burlington,Ontario,L7L 5Z1,43.3888131,-79.7787853
13087,Wellness Clinical Pharmacy,15450 YONGE ST.,AURORA,Ontario,L4G 0K1,44.0046781,-79.4693778
13100,Northview Pharmacy,4949 bathurst street,Toronto,Ontario,M2R 1Y1,43.7743866,-79.4423472
13131,Jennas Pharmacy,796 Burnhamthorpe Rd W,Mississauga,Ontario,L5C 2R9,43.5757915,-79.6538756
13160,Nexus Pharmacy and Herbals,166 Davenfield Circle,Brampton,Ontario,L6P 4L9,43.7741237,-79.6597322
10004,Thornton Rd Pharmacy,575 thornton rd north,oshawa,Ontario,L1J 8L5,43.9082866,-78.9001144
10006,Vital Pharmacy,224 HUNT CLUB ROAD,OTTAWA,Ontario,K1V 1C1,45.3339385,-75.6907532
10008,Komoka Pharmacy,9952 GLENDON DR,KOMOKA,Ontario,N0L 1R0,42.9457453,-81.4312272
10125,Stonechurch Pharmacy,25 Redmond Drive,Hamilton,Ontario,L8W 3K7,43.2061707,-79.864539
10253,Brinkley Pharmacy,11670 HURONTARIO STREET NORTH,Brampton,Ontario,L7A 1R2,43.7304566,-79.8213976
10258,Clinix + Pharmacy,475 Tecumseh Rd East,Windsor,Ontario,N8X 4W5,42.2973606,-83.0176131
10285,Woodstream Pharmacy,5451 highway 7,woodbridge,Ontario,L4L 0B2,43.776248,-79.60305
10289,Centrepoint IDA Pharmacy,889 EXMOUTH STREET,Sarnia,Ontario,N7T 5R3,42.984754,-82.377289
10340,Highland Plaza IDA,75 Dundas Street North,Cambridge,Ontario,N1R 6G5,43.358572,-80.291352
10397,Meaford IDA Pharmacy,334 Sykes St South,Meaford,Ontario,N4L 1X1,44.5979491,-80.5866584
10482,Mountainside Pharmacy,1900 Walkers Line,Burlington,Ontario,L7M 4W5,43.3779851,-79.8058934
10936,Essential Pharmacy,6525 Malden Rd,LaSalle,Ontario,N9H 1T5,42.2337705,-83.062122
10949,Port Dalhousie Pharmacy,2 LAKESHORE ROAD,St. Catharines,Ontario,L2N 7E4,43.1963195,-79.2594053
11056,Swan Lake Pharmacy,5 swan lake blvd,Markham,Ontario,L6E 0K7,43.895762,-79.250258
11087,College Manor Pharmacy & Wellness Centre Ltd.,883 Mulock Dr,Newmarket,Ontario,L3Y 8S3,44.0461276,-79.4358856
11108,Pharmasave,640 QUEENSTON RD.,HAMILTON,Ontario,L8K 1K2,43.2294311,-79.775295
11145,River Road Pharmacy,1256 Mosley st,Wasaga Beach,Ontario,L9Z 2E2,44.4896279,-80.0517023
11148,Muskoka Wharf Pharmasave,125 Steamship Bay Rd,Gravenhurst,Ontario,P1P 1Z9,44.918983,-79.388208
11239,Westend Pharmasave,658 Second Line West,Sault Ste Marie,Ontario,P6C 2K9,46.5375002,-84.3830716
11311,Potters Wheel Pharmacy,10725 MCLAUGHLIN RD,BRAMPTON,Ontario,L7A 3E5,43.7102558,-79.8157516
11412,Progressive Pharmacy,678 GUELPH LINE,Burlington,Ontario,L7R 3M8,43.3436481,-79.7935127
11635,Rexall,345 Bloor Street,Toronto,Ontario,M4W 1H7,43.67165,-79.378245
11744,Chatham Family Pharmacy,835 Queen St South,Chatham,Ontario,N7M 2K5,42.3886642,-82.1661521
11749,Kristen's Pharmacy,197 Albert St. S.,Southampton,Ontario,N0H 2L0,44.4897751,-81.3765563
11868,Shoppers Drug Mart,2401 Highway # 2,Bowmanville,Ontario,L1C 4V4,43.908138,-78.706173
12306,Shoppers Drug Mart,128 Queen Street South,Mississauga,Ontario,L5M 1K8,43.582885,-79.718374
