name,street,city,postal,date,link
1780 Markham Road - Shoppers Drug Mart,1780 Markham Road,"Scarborough, ON",M1B 2W2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Village Square Pharmacy,2942 Finch Avenue East,"Scarborough, ON",M1W 2T4,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
799 Milner Ave - Walmart,799 Milner Avenue,"Scarborough, ON",M1B 3C3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
255 Morningside Ave. - Shoppers Drug Mart,255 Morningside Ave.,"Scarborough, ON",M1E 3E6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
91 Rylander Blvd. - Shoppers Drug Mart,"91 Rylander Blvd., Unit 1022","Scarborough, ON",M1B 5M5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1235 Mccowan Rd. - Shoppers Drug Mart,1235 Mccowan Rd.,"Scarborough , ON",M1H 3K3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1571 Sandhurst Circle - Shoppers Drug Mart,1571 Sandhurst Circle,"Scarborough , ON",M1V 1V2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2330 Kennedy Rd. - Shoppers Drug Mart,2330 Kennedy Rd.,"Scarborough , ON",M1T 3H1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
681 Silver Star Boulevard - Loblaw,681 Silver Start Boulevard,"Scarborough , ON",M1V 5N1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1411 Warden Ave - Costco,1411 Warden Ave,"Scarborough , ON",M1R 2S3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5671 Steeles Ave. East - Shoppers Drug Mart,5671 Steeles Ave. East,"Scarborough , ON",M1V 5P6,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
265 Port Union Rd. - Shoppers Drug Mart,265 Port Union Rd.,"Scarborough , ON",M1C 2L3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
85 Ellesmere Rd. - Shoppers Drug Mart,85 Ellesmere Road Unit 31,"Scarborough , ON",M1R 4B7,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2999 Kingston Rd. - Shoppers Drug Mart,2999 Kingston Rd.,"Scarborough , ON",M1M 1P1,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3607 Sheppard Avenue East - Rexall,3607 Sheppard Avenue East,"Scarborough, ON",M1T 3K8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2901 Sheppard Ave. East - Shoppers Drug Mart,2901 Sheppard Ave. East,"Scarborough , ON",M1T 3J3,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3401 Lawrence Ave East -  Loblaw,3401 Lawrence Avenue East,"Scarborough , ON",M1H 1B2,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
300 Borough Dr. - Shoppers Drug Mart,300 Borough Dr.,"Scarborough , ON",M1P 4P5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1450 Lawrence Ave East -Loblaw,1450 LAWRENCE AVE E,"Scarborough , ON",M4A 2S8,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2251 Lawrence Ave East - Shoppers Drug Mart,2251 Lawrence Avenue East,"Scarborough , ON",M1P 2P5,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
