CFSAUID,PRUID,PRNAME,all_pharmacies,covid_vaccine_pharmacies,covid_pharms
J3V,"24",Quebec / Québec,"0","0",0.000
J3X,"24",Quebec / Québec,"0","0",0.000
J2K,"24",Quebec / Québec,"0","0",0.000
J2M,"24",Quebec / Québec,"0","0",0.000
J2N,"24",Quebec / Québec,"0","0",0.000
J2S,"24",Quebec / Québec,"0","0",0.000
J2W,"24",Quebec / Québec,"0","0",0.000
J2X,"24",Quebec / Québec,"0","0",0.000
J2Y,"24",Quebec / Québec,"0","0",0.000
J3A,"24",Quebec / Québec,"0","0",0.000
J3B,"24",Quebec / Québec,"0","0",0.000
J3Z,"24",Quebec / Québec,"0","0",0.000
J4B,"24",Quebec / Québec,"0","0",0.000
J4G,"24",Quebec / Québec,"0","0",0.000
J4H,"24",Quebec / Québec,"0","0",0.000
J4J,"24",Quebec / Québec,"0","0",0.000
J4K,"24",Quebec / Québec,"0","0",0.000
J4L,"24",Quebec / Québec,"0","0",0.000
J4M,"24",Quebec / Québec,"0","0",0.000
J4N,"24",Quebec / Québec,"0","0",0.000
J7K,"24",Quebec / Québec,"0","0",0.000
J7L,"24",Quebec / Québec,"0","0",0.000
J4P,"24",Quebec / Québec,"0","0",0.000
J4R,"24",Quebec / Québec,"0","0",0.000
J4S,"24",Quebec / Québec,"0","0",0.000
J4T,"24",Quebec / Québec,"0","0",0.000
J4V,"24",Quebec / Québec,"0","0",0.000
J5A,"24",Quebec / Québec,"0","0",0.000
J5B,"24",Quebec / Québec,"0","0",0.000
J5C,"24",Quebec / Québec,"0","0",0.000
J5M,"24",Quebec / Québec,"0","0",0.000
J5R,"24",Quebec / Québec,"0","0",0.000
J5T,"24",Quebec / Québec,"0","0",0.000
J5J,"24",Quebec / Québec,"0","0",0.000
J5K,"24",Quebec / Québec,"0","0",0.000
J5L,"24",Quebec / Québec,"0","0",0.000
J8A,"24",Quebec / Québec,"0","0",0.000
J8B,"24",Quebec / Québec,"0","0",0.000
J8C,"24",Quebec / Québec,"0","0",0.000
J5V,"24",Quebec / Québec,"0","0",0.000
J5W,"24",Quebec / Québec,"0","0",0.000
J5X,"24",Quebec / Québec,"0","0",0.000
J5Y,"24",Quebec / Québec,"0","0",0.000
J5Z,"24",Quebec / Québec,"0","0",0.000
J6A,"24",Quebec / Québec,"0","0",0.000
J6E,"24",Quebec / Québec,"0","0",0.000
J6J,"24",Quebec / Québec,"0","0",0.000
J6K,"24",Quebec / Québec,"0","0",0.000
J6N,"24",Quebec / Québec,"0","0",0.000
J6R,"24",Quebec / Québec,"0","0",0.000
J6S,"24",Quebec / Québec,"0","0",0.000
J6T,"24",Quebec / Québec,"0","0",0.000
J6V,"24",Quebec / Québec,"0","0",0.000
J6W,"24",Quebec / Québec,"0","0",0.000
J6X,"24",Quebec / Québec,"0","0",0.000
J6Y,"24",Quebec / Québec,"0","0",0.000
J6Z,"24",Quebec / Québec,"0","0",0.000
J7A,"24",Quebec / Québec,"0","0",0.000
J7B,"24",Quebec / Québec,"0","0",0.000
J7C,"24",Quebec / Québec,"0","0",0.000
J7E,"24",Quebec / Québec,"0","0",0.000
J7J,"24",Quebec / Québec,"0","0",0.000
R4L,"46",Manitoba,"0","0",0.000
R5G,"46",Manitoba,"0","0",0.000
R5H,"46",Manitoba,"0","0",0.000
R7A,"46",Manitoba,"0","0",0.000
R8A,"46",Manitoba,"0","0",0.000
J7G,"24",Quebec / Québec,"0","0",0.000
J7H,"24",Quebec / Québec,"0","0",0.000
J7M,"24",Quebec / Québec,"0","0",0.000
J7N,"24",Quebec / Québec,"0","0",0.000
J7P,"24",Quebec / Québec,"0","0",0.000
J7R,"24",Quebec / Québec,"0","0",0.000
J7T,"24",Quebec / Québec,"0","0",0.000
J7V,"24",Quebec / Québec,"0","0",0.000
J7W,"24",Quebec / Québec,"0","0",0.000
K1S,"35",Ontario,"6","0",0.000
K1T,"35",Ontario,"7","0",0.000
K1V,"35",Ontario,"24","3",3.000
J8X,"24",Quebec / Québec,"0","0",0.000
J7X,"24",Quebec / Québec,"0","0",0.000
J7Y,"24",Quebec / Québec,"0","0",0.000
J7Z,"24",Quebec / Québec,"0","0",0.000
K1R,"35",Ontario,"9","0",0.000
J8E,"24",Quebec / Québec,"0","0",0.000
J8G,"24",Quebec / Québec,"0","0",0.000
J8H,"24",Quebec / Québec,"0","0",0.000
J8P,"24",Quebec / Québec,"0","0",0.000
J8T,"24",Quebec / Québec,"0","0",0.000
J8L,"24",Quebec / Québec,"0","0",0.000
J8M,"24",Quebec / Québec,"0","0",0.000
J8N,"24",Quebec / Québec,"0","0",0.000
J8R,"24",Quebec / Québec,"0","0",0.000
J8V,"24",Quebec / Québec,"0","0",0.000
M9R,"35",Ontario,"5","2",2.000
M9V,"35",Ontario,"26","2",2.000
M9W,"35",Ontario,"16","3",3.000
N0A,"35",Ontario,"10","0",0.000
N0B,"35",Ontario,"16","1",1.000
N0C,"35",Ontario,"4","1",1.000
N0E,"35",Ontario,"6","0",0.000
N0G,"35",Ontario,"32","0",0.000
N0H,"35",Ontario,"18","2",2.000
N0J,"35",Ontario,"7","0",0.000
N0K,"35",Ontario,"8","0",0.000
N0L,"35",Ontario,"16","0",0.000
N0M,"35",Ontario,"30","2",2.000
N0N,"35",Ontario,"15","2",2.000
N0P,"35",Ontario,"14","1",1.000
N0R,"35",Ontario,"12","6",6.000
N1A,"35",Ontario,"5","1",1.000
N1C,"35",Ontario,"1","0",0.000
N1E,"35",Ontario,"10","0",0.000
J8Y,"24",Quebec / Québec,"0","0",0.000
J8Z,"24",Quebec / Québec,"0","0",0.000
J9A,"24",Quebec / Québec,"0","0",0.000
J9J,"24",Quebec / Québec,"0","0",0.000
J9P,"24",Quebec / Québec,"0","0",0.000
J9V,"24",Quebec / Québec,"0","0",0.000
J9B,"24",Quebec / Québec,"0","0",0.000
J9E,"24",Quebec / Québec,"0","0",0.000
