name,street,city,province,postal,full address,X,Y,date,link
Shoppers Drug Mart,1224 Commissioners Road West,"London, ON",Ontario,N6K 1C7,"1224 Commissioners Road West London, ON N6K 1C7",42.9585692,-81.330272,2021-04-13T14:53:25.247Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,12277 10th Line,"Stouffville, ON",Ontario,L4A 7W6,"12277 10th Line Stouffville, ON L4A 7W6",43.9756724,-79.230048,2021-04-13T14:53:25.370Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,123 Pioneer Drive,"Kitchener, ON",Ontario,N2P 2A3,"123 Pioneer Drive Kitchener, ON N2P 2A3",43.3939871,-80.4319583,2021-04-13T14:53:25.231Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,123 Rexdale Boulevard,"Etobicoke, ON",Ontario,M9W 1P1,"123 Rexdale Boulevard Etobicoke, ON M9W 1P1",43.7110841,-79.5654365,2021-04-13T14:53:25.174Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1235 McCowan Road,"Scarborough, ON",Ontario,M1H 3K3,"1235 McCowan Road Scarborough, ON M1H 3K3",43.7726783,-79.2510177,2021-04-13T14:53:25.357Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,125 The Queensway,"Etobicoke, ON",Ontario,M8Y 1H6,"125 The Queensway Etobicoke, ON M8Y 1H6",43.63032,-79.4813469,2021-04-13T14:53:25.173Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1270 Walker Road,"Windsor, ON",Ontario,N8Y 4T4,"1270 Walker Road Windsor, ON N8Y 4T4",42.314682,-83.0016408,2021-04-13T14:53:25.451Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,128 Queen St. South,"Mississauga, ON",Ontario,L5M 1K8,"128 Queen St. South Mississauga, ON L5M 1K8",43.5832253,-79.7158621,2021-04-13T14:53:25.271Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1300 Garth Street,"Hamilton, ON",Ontario,L9C 4L7,"1300 Garth Street Hamilton, ON L9C 4L7",43.2206416,-79.9072011,2021-04-13T14:53:25.199Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1300 Stittsville Main St.,"Stittsville, ON",Ontario,K2S 1A3,"1300 Stittsville Main St. Stittsville, ON K2S 1A3",45.2655398,-75.9303671,2021-04-13T14:53:25.368Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,13070 Yonge Street Richmond,"Hill, ON",Ontario,L4E 2T2,"13070 Yonge Street Richmond Hill, ON L4E 2T2",43.9460727,-79.4558854,2021-04-13T14:53:25.340Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,133 King Street West,"Dundas, ON",Ontario,L9H 1V3,"133 King Street West Dundas, ON L9H 1V3",43.2671167,-79.959576,2021-04-13T14:53:25.158Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1341 Main St. West,"Hamilton, ON",Ontario,L8S 1C6,"1341 Main St. West Hamilton, ON L8S 1C6",43.257386,-79.9193497,2021-04-13T14:53:25.199Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1355 Kingston Road,"Pickering, ON",Ontario,L1V 1B8,"1355 Kingston Road Pickering, ON L1V 1B8",43.8361864,-79.0860415,2021-04-13T14:53:25.329Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,136 Princess Street,"Kingston, ON",Ontario,K7L 1A7,"136 Princess Street Kingston, ON K7L 1A7",44.2315041,-76.4838087,2021-04-13T14:53:25.222Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1365 Huron St.,"London, ON",Ontario,N5V 2E3,"1365 Huron St. London, ON N5V 2E3",43.0186651,-81.2133802,2021-04-13T14:53:25.246Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,140 Holland Street West,"Bradford, ON",Ontario,L3Z 1R7,"140 Holland Street West Bradford, ON L3Z 1R7",44.1124446,-79.5693873,2021-04-13T14:53:25.119Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1400 Dupont Street,"Toronto, ON",Ontario,M6H 2B2,"1400 Dupont Street Toronto, ON M6H 2B2",43.6667712,-79.4473799,2021-04-13T14:53:25.425Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1400 Neilson Road,"Scarborough, ON",Ontario,M1B 0C2,"1400 Neilson Road Scarborough, ON M1B 0C2",43.8093399,-79.2229982,2021-04-13T14:53:25.355Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"1421 Grand Marais Road West, Unit 100","Windsor, ON",Ontario,N9E 4V1,"1421 Grand Marais Road West, Unit 100 Windsor, ON N9E 4V1",42.2665457,-83.0277459,2021-04-13T14:53:25.452Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1428 Highway 2,"Courtice, ON",Ontario,L1E 2J5,"1428 Highway 2 Courtice, ON L1E 2J5",43.9074837,-78.8085831,2021-04-13T14:53:25.155Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,14729 Yonge Street,"Aurora, ON",Ontario,L4G 1N1,"14729 Yonge Street Aurora, ON L4G 1N1",43.9874805,-79.4637965,2021-04-13T14:53:25.089Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1473 Queen Street West,"Toronto, ON",Ontario,M6R 1A1,"1473 Queen Street West Toronto, ON M6R 1A1",43.639897,-79.4390485,2021-04-13T14:53:25.410Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,149 Westmount Drive North,"Orillia, ON",Ontario,L3V 6C7,"149 Westmount Drive North Orillia, ON L3V 6C7",44.6079966,-79.4396666,2021-04-13T14:53:25.308Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,15 Sherwood Avenue,"Amherstview, ON",Ontario,K7N 1N1,"15 Sherwood Avenue Amherstview, ON K7N 1N1",44.2195772,-76.6423544,2021-04-13T14:53:25.082Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,15 Westney Road North,"Ajax, ON",Ontario,L1T 1P4,"15 Westney Road North Ajax, ON L1T 1P4",43.858914,-79.0401394,2021-04-13T14:53:25.074Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,150 Sidney Street,"Belleville, ON",Ontario,K8P 5E2,"150 Sidney Street Belleville, ON K8P 5E2",44.1594696,-77.3988292,2021-04-13T14:53:25.110Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1500 Avenue Road,"Toronto, ON",Ontario,M5M 3X2,"1500 Avenue Road Toronto, ON M5M 3X2",43.722525,-79.4161207,2021-04-13T14:53:25.423Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1500 King Street East,"Cambridge, ON",Ontario,N3H 3R5,"1500 King Street East Cambridge, ON N3H 3R5",43.389663,-80.3465977,2021-04-13T14:53:25.150Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1500 Woodbine Avenue,"Toronto, ON",Ontario,M4C 4G9,"1500 Woodbine Avenue Toronto, ON M4C 4G9",43.6992126,-79.3193571,2021-04-13T14:53:25.422Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1507 Yonge Street,"Toronto, ON",Ontario,M4T 1Z2,"1507 Yonge Street Toronto, ON M4T 1Z2",43.6893843,-79.3941999,2021-04-13T14:53:25.421Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1515 Rebecca Street,"Oakville, ON",Ontario,L6L 5H8,"1515 Rebecca Street Oakville, ON L6L 5H8",43.4126787,-79.7061473,2021-04-13T14:53:25.305Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1515 Steeles Avenue East,"Toronto, ON",Ontario,M2M 3Y7,"1515 Steeles Avenue East Toronto, ON M2M 3Y7",43.8046408,-79.3846555,2021-04-13T14:53:25.409Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1533 Jane Street,"Toronto, ON",Ontario,M9N 2R2,"1533 Jane Street Toronto, ON M9N 2R2",43.6971001,-79.5014085,2021-04-13T14:53:25.409Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1571 Sandhurst Circle,"Scarborough, ON",Ontario,M1V 1V2,"1571 Sandhurst Circle Scarborough, ON M1V 1V2",43.8092547,-79.2696046,2021-04-13T14:53:25.357Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1585 Mississauga Valley Boulevard,"Mississauga, ON",Ontario,L5A 3W9,"1585 Mississauga Valley Boulevard Mississauga, ON L5A 3W9",43.5922322,-79.6259097,2021-04-13T14:53:25.276Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1597 Wilson Avenue North,"York, ON",Ontario,M3L 1A5,"1597 Wilson Avenue North York, ON M3L 1A5",43.7203603,-79.5109429,2021-04-13T14:53:25.298Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,160 Main Street South,"Brampton, ON",Ontario,L6W 2E1,"160 Main Street South Brampton, ON L6W 2E1",43.6782516,-79.7476109,2021-04-13T14:53:25.138Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1601 Bayview Avenue East,"York, ON",Ontario,M4G 3B5,"1601 Bayview Avenue East York, ON M4G 3B5",43.7063311,-79.375022,2021-04-13T14:53:25.160Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1630 Danforth Avenue,"Toronto, ON",Ontario,M4C 1H6,"1630 Danforth Avenue Toronto, ON M4C 1H6",43.683901,-79.3221898,2021-04-13T14:53:25.426Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,165 Wellington Street West,"Barrie, ON",Ontario,L4N 1L7,"165 Wellington Street West Barrie, ON L4N 1L7",44.3869779,-79.705149,2021-04-13T14:53:25.102Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1657 Dundas St. East,"London, ON",Ontario,N5W 3C6,"1657 Dundas St. East London, ON N5W 3C6",43.000843,-81.1886035,2021-04-13T14:53:25.247Z,https://covid-19.ontario.ca/vaccine-locations
