name,street,city,postal,province,full_address,X,Y,date,link
269 Erie St. South - Shoppers Drug Mart,269 Erie Street South,"Leamington, ON",N8H 3C4,Ontario,"269 Erie Street South Leamington, ON N8H 3C4",42.0380845,-82.6019932,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
288 Erie Street South - Walmart,288 Erie Street South,"Leamington, ON",N8H 3C5,Ontario,"288 Erie Street South Leamington, ON N8H 3C5",42.0365856,-82.5990372,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
201 Talbot St. East - Loblaw,201 Talbot St. East,"Leamington, ON",N8H 3X5,Ontario,"201 Talbot St. East Leamington, ON N8H 3X5",42.0587347,-82.5870427,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Central Drug Mart (Leamington),250 Erie St South,"Leamington, ON",N8H 3C2,Ontario,"250 Erie St South Leamington, ON N8H 3C2",42.0393337,-82.5986993,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
450 Centre Street North - Loblaw,450 Centre Street North,"Napanee, ON",K7R 1P8,Ontario,"450 Centre Street North Napanee, ON K7R 1P8",44.2586876,-76.9626492,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
89 Jim Kimmett Boulevard - Walmart,89 Jim Kimmett Boulevard,"Napanee, ON",K7R 3L1,Ontario,"89 Jim Kimmett Boulevard Napanee, ON K7R 3L1",44.2611952,-76.9634455,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
470 Centre Street North - Rexall,470 Centre Street North,"Napanee, ON",K7R 1P8,Ontario,"470 Centre Street North Napanee, ON K7R 1P8",44.2593345,-76.9632033,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
10 Alkenbrack St. - Shoppers Drug Mart,"10 Alkenbrack St., Unit 2","Napanee, ON",K7R 0A6,Ontario,"10 Alkenbrack St., Unit 2 Napanee, ON K7R 0A6",44.2564519,-76.9609132,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
4841 Yonge Street - Shoppers Drug Mart,4841 Yonge Street North,"York, ON",M2N 5X2,Ontario,"4841 Yonge Street North York, ON M2N 5X2",43.7625088,-79.4105316,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
3874 Bathurst Street - Shoppers Drug Mart,3874 Bathurst Street North,"York, ON",M3H 3N3,Ontario,"3874 Bathurst Street North York, ON M3H 3N3",43.7411737,-79.4353135,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
770 Lawrence Ave West - Shoppers Drug Mart,770 Lawrence Ave. West North,"York, ON",M6A 3C6,Ontario,"770 Lawrence Ave. West North York, ON M6A 3C6",43.7151956,-79.4524299,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6220 YONGE ST - Loblaw,6220 Yonge Street North,"York, ON",M2M 3X4,Ontario,"6220 Yonge Street North York, ON M2M 3X4",43.7947029,-79.4216736,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5998 Bathurst St. - Shoppers Drug Mart,5998 Bathurst St. North,"York, ON",M2R 1Z1,Ontario,"5998 Bathurst St. North York, ON M2R 1Z1",43.784822,-79.4463913,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6205 Bathurst St. - Shoppers Drug Mart,6205 Bathurst St. North,"York, ON",M2R 2A5,Ontario,"6205 Bathurst St. North York, ON M2R 2A5",43.7915276,-79.4443473,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
100 Billy Bishop Way - Costco,100 Billy Bishop Way North,"York, ON",M3K 2C8,Ontario,"100 Billy Bishop Way North York, ON M3K 2C8",43.7310297,-79.4559733,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
6428 Yonge St. - Shoppers Drug Mart,6428 Yonge St. North,"York, ON",M2M 3X4,Ontario,"6428 Yonge St. North York, ON M2M 3X4",43.7962159,-79.4222559,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
5150 Yonge Street - Rexall,5150 Yonge Street North,"York, ON",M2N 6L8,Ontario,"5150 Yonge Street North York, ON M2N 6L8",43.7686186,-79.413135,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Whole Health Pharmacy,"1575 Jane Street, Unit 7 North","York, ON",M9N 2R3,Ontario,"1575 Jane Street, Unit 7 North York, ON M9N 2R3",43.6993661,-79.5025262,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Tobia's Guardian Pharmacy,12357 Hwy 41,"Northbrook, ON",K0H 2G0,Ontario,"12357 Hwy 41 Northbrook, ON K0H 2G0",44.7383505,-77.1610168,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
2751 Eglinton Ave East - Shoppers Drug Mart,2751 Eglinton Ave East,"Scarborough, ON",M1J 2C7,Ontario,"2751 Eglinton Ave East Scarborough, ON M1J 2C7",43.7363941,-79.2474937,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
629 Markham Road - Shoppers Drug Mart,629 Markham Road,"Scarborough, ON",M1H 2A4,Ontario,"629 Markham Road Scarborough, ON M1H 2A4",43.7601551,-79.2253571,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1780 Markham Road - Shoppers Drug Mart,1780 Markham Road,"Scarborough, ON",M1B 2W2,Ontario,"1780 Markham Road Scarborough, ON M1B 2W2",43.7948226,-79.2405334,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
Village Square Pharmacy,2942 Finch Avenue East,"Scarborough, ON",M1W 2T4,Ontario,"2942 Finch Avenue East Scarborough, ON M1W 2T4",43.7943595,-79.3294453,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
799 Milner Ave - Walmart,799 Milner Avenue,"Scarborough, ON",M1B 3C3,Ontario,"799 Milner Avenue Scarborough, ON M1B 3C3",43.7976384,-79.2017578,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
255 Morningside Ave. - Shoppers Drug Mart,255 Morningside Ave.,"Scarborough, ON",M1E 3E6,Ontario,"255 Morningside Ave. Scarborough, ON M1E 3E6",43.7699397,-79.1849207,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
91 Rylander Blvd. - Shoppers Drug Mart,"91 Rylander Blvd., Unit 1022","Scarborough, ON",M1B 5M5,Ontario,"91 Rylander Blvd., Unit 1022 Scarborough, ON M1B 5M5",43.7971562,-79.1510611,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1235 Mccowan Rd. - Shoppers Drug Mart,1235 Mccowan Rd.,"Scarborough , ON",M1H 3K3,Ontario,"1235 Mccowan Rd. Scarborough , ON M1H 3K3",43.7726783,-79.2510177,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
1571 Sandhurst Circle - Shoppers Drug Mart,1571 Sandhurst Circle,"Scarborough , ON",M1V 1V2,Ontario,"1571 Sandhurst Circle Scarborough , ON M1V 1V2",43.8092547,-79.2696046,2021-03-10T05:00:00.000Z,https://web.archive.org/web/20210310100031/https://covid-19.ontario.ca/vaccine-locations/
