name,street,city,postal,date,link
Shoppers Drug Mart,1428 Highway 2,"Courtice, ON",L1E 2J5,2021-04-13T14:53:25.155Z,https://covid-19.ontario.ca/vaccine-locations
Cahoon's Pharmacy,95 Deep River Road Deep,"River, ON",K0J 1P0,2021-04-13T14:53:25.156Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,2300 Dorchester Road,"Dorchester, ON",N0L 1G3,2021-04-13T14:53:25.156Z,https://covid-19.ontario.ca/vaccine-locations
Pharma Trust Drug Mart,1935 Sheppard Ave. West,"Downsview, ON",M3L 1Y8,2021-04-13T14:53:25.157Z,https://covid-19.ontario.ca/vaccine-locations
Mactavish Pharmacy,480 St. George Street,"Dresden, ON",N0P 1M0,2021-04-13T14:53:25.157Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,25 Duke Street,"Dryden, ON",P8N 1E6,2021-04-13T14:53:25.157Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,60 Hatt Street,"Dundas, ON",L9H 7T6,2021-04-13T14:53:25.158Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,133 King Street West,"Dundas, ON",L9H 1V3,2021-04-13T14:53:25.158Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,"101 Osler Drive, Unit 102","Dundas, ON",L9H 4H4,2021-04-13T14:53:25.158Z,https://covid-19.ontario.ca/vaccine-locations
Hausers Pharmacy,140 Broad Street East,"Dunnville, ON",N1A 1E9,2021-04-13T14:53:25.159Z,https://covid-19.ontario.ca/vaccine-locations
Costco Pharmacy,18182 Yonge Street East,"Gwillimbury, ON",L9N 0J3,2021-04-13T14:53:25.159Z,https://covid-19.ontario.ca/vaccine-locations
I CARE Pharmacy Services,"2 Thorncliffe Park Drive, Unit 26-27 East","York, ON",M4H 1H2,2021-04-13T14:53:25.159Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,1601 Bayview Avenue East,"York, ON",M4G 3B5,2021-04-13T14:53:25.160Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,220 Ontario Avenue Elliot,"Lake, ON",P5A 1Y5,2021-04-13T14:53:25.160Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,11 Arthur Street North,"Elmira, ON",N3B 1Z4,2021-04-13T14:53:25.161Z,https://covid-19.ontario.ca/vaccine-locations
Whitfield Guardian,16 Queen Street West,"Elmvale, ON",L0L 1P0,2021-04-13T14:53:25.161Z,https://covid-19.ontario.ca/vaccine-locations
Elora Apothecary,115 Geddes St. Unit B,"Elora, ON",N0B 1S0,2021-04-13T14:53:25.161Z,https://covid-19.ontario.ca/vaccine-locations
Embrun Remedy's Rx,753 Notre Dame Street,"Embrun, ON",K0A 1W0,2021-04-13T14:53:25.162Z,https://covid-19.ontario.ca/vaccine-locations
Rexall,123 Main Street,"Erin, ON",N0B 1T0,2021-04-13T14:53:25.162Z,https://covid-19.ontario.ca/vaccine-locations
Brady's Drug Store,186 Talbot Street South,"Essex, ON",N8M 1B6,2021-04-13T14:53:25.162Z,https://covid-19.ontario.ca/vaccine-locations
Shoppers Drug Mart,5 Talbot Street South,"Essex, ON",N8M 1A6,2021-04-13T14:53:25.163Z,https://covid-19.ontario.ca/vaccine-locations
Clinicplus I.D.A. Pharmacy,"10 Neighbourhood Lane, Unit 103","Etobicoke, ON",M8Y 0C5,2021-04-13T14:53:25.163Z,https://covid-19.ontario.ca/vaccine-locations
Costco,50 Queen Elizabeth Boulevard,"Etobicoke, ON",M8Z 1M1,2021-04-13T14:53:25.164Z,https://covid-19.ontario.ca/vaccine-locations
Drug Store Pharmacy,1530 Albion Road,"Etobicoke, ON",M9V 1B4,2021-04-13T14:53:25.164Z,https://covid-19.ontario.ca/vaccine-locations
Fortinos,330 Queens Plate Drive,"Etobicoke, ON",M9W 7J7,2021-04-13T14:53:25.165Z,https://covid-19.ontario.ca/vaccine-locations
Glen Cade Pharmacy,290 The West Mall,"Etobicoke, ON",M9C 1C6,2021-04-13T14:53:25.165Z,https://covid-19.ontario.ca/vaccine-locations
Kipling & Queensway Pharmacy,"1255 The Queensway, Unit 20","Etobicoke, ON",M8Z 1S1,2021-04-13T14:53:25.166Z,https://covid-19.ontario.ca/vaccine-locations
Lakeside Pharmacy,2438 Lake Shore Boulevard West,"Etobicoke, ON",M8V 1C4,2021-04-13T14:53:25.166Z,https://covid-19.ontario.ca/vaccine-locations
Loblaws,380 The East Mall,"Etobicoke, ON",M9B 6L5,2021-04-13T14:53:25.168Z,https://covid-19.ontario.ca/vaccine-locations
Loblaws,3671 Dundas Street West,"Etobicoke, ON",M6S 2T3,2021-04-13T14:53:25.169Z,https://covid-19.ontario.ca/vaccine-locations
