,DBUID,DBPOP,DAUID,DAPOP,CSDUID,CSDNAME,CSDTYPE,CSDPOP,CMAUID,CMAPUID,CMANAME,CMATYPE,CMAPOP,PRUID,PRNAME,PRPOP,lon,lat,in_db_emp,prox_idx_emp,in_db_pharma,prox_idx_pharma,in_db_childcare,prox_idx_childcare,in_db_health,prox_idx_health,in_db_grocery,prox_idx_grocery,in_db_educpri,prox_idx_educpri,in_db_educsec,prox_idx_educsec,in_db_lib,prox_idx_lib,in_db_parks,prox_idx_parks,in_db_transit,prox_idx_transit,transit_na,amenity_dense,suppressed
187588,35200714003,124,35200714,409,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3364,43.6759,1,0.1992,0,0.0936,0,0.1634,1,0.0388,0,0.1185,0,0.3704,0,0.3223,0,0.1457,0,0.1032,0,0.0238,0,2,0
187589,35200715001,192,35200715,419,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3343,43.6749,1,0.1942,0,0.0729,0,0.138,1,0.0259,0,0.1397,0,0.3412,0,0.2998,0,0.1303,0,0.0759,0,0.0225,0,2,0
187590,35200715003,147,35200715,419,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3368,43.6751,1,0.2001,0,0.0796,0,0.1464,0,0.038,0,0.1314,0,0.3923,0,0.2745,0,0.1347,0,0.0748,1,0.0271,0,2,0
187591,35200715004,80,35200715,419,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3361,43.6749,1,0.1977,0,0.0791,0,0.1461,1,0.0365,0,0.1241,0,0.3901,0,0.2751,0,0.1334,0,0.0745,0,0.0269,0,2,0
187592,35200716003,104,35200716,343,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3372,43.6737,1,0.2083,0,0.0925,0,0.1415,0,0.0413,0,0.1692,0,0.4414,0,0.222,0,0.1508,0,0.098,0,0.0424,0,2,0
187593,35200716004,239,35200716,343,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3358,43.6741,1,0.1978,0,0.0583,0,0.0978,0,0.0262,0,0.1081,0,0.3329,0,0.1993,0,0.1251,0,0.0654,0,0.0226,0,2,0
187594,35200717001,471,35200717,471,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3385,43.6747,1,0.2066,0,0.081,0,0.1246,1,0.0422,0,0.0948,0,0.2855,0,0.1478,0,0.0973,0,0.0915,1,0.0231,0,1,0
187595,35200718002,192,35200718,"1,410",3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3419,43.675,1,0.2136,1,0.1751,0,0.2086,1,0.0336,0,0.1557,0,0.4642,0,0.1365,0,0.1001,0,0.151,1,0.0563,0,1,0
187596,35200718003,"1,218",35200718,"1,410",3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3408,43.6749,1,0.2085,0,0.1154,1,0.1907,1,0.0307,0,0.1476,0,0.4468,0,0.1448,0,0.1318,1,0.1574,0,0.0435,0,2,0
187597,35200719002,961,35200719,961,3520005,Toronto,C,"2,731,571",535,35535,Toronto,B,"5,928,040",35,Ontario,"13,448,494",-79.3338,43.6771,1,0.1907,1,0.0723,1,0.1513,1,0.035,1,0.1007,1,0.2944,1,0.3406,0,0.0729,1,0.0759,1,0.0152,0,1,0
